system:index,ABC_SORT,CTU_CODE,CTU_ID,CTU_ID_CEN,CTU_NAME,CTU_TYPE,FIVE_COLOR,Shape_Area,Shape_Leng,max_LST,.geo
0000000000000000006f,58,10972,2393809,02393809,Chaska,C,3,4.61663039574E7,36204.0916756,{LST=105.40398919135265},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,298,54808,2396388,02396388,Robbinsdale,C,3,7721613.44308,13819.4106303,{LST=104.16545911632221},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,84,15022,2394471,02394471,Dayton,C,3,6.48592105892E7,35136.2645301,{LST=105.39872945758044},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,244,45430,2395187,02395187,New Brighton,C,3,1.83401507499E7,19934.1985564,{LST=104.6027649903074},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,331,58900,2396548,02396548,Scandia,C,3,1.02891563357E8,43856.1608298,{LST=103.60656142210166},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,278,48580,2396081,02396081,Orono,C,3,6.21367807286E7,59779.0907478,{LST=104.16269067178385},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,362,66802,2397127,02397127,Vermillion,C,3,2566570.55209,6581.5587579,{LST=102.69002400713636},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,24,06058,2394171,02394171,Birchwood Village,C,3,867163.546221,4536.5733209,{LST=98.89142891623906},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,192,37322,2395725,02395725,Lino Lakes,C,3,8.60552611155E7,52314.7385835,{LST=104.1423708706134},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,356,63544,2396006,02396006,Sunfish Lake,C,3,4382557.33767,8106.90469991,{LST=102.27820483030058},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,108,20078,2394717,02394717,Excelsior,C,3,2253559.32518,8007.63479825,{LST=104.99031479096034},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,32,06616,2394198,02394198,Bloomington,C,3,9.93174390501E7,45953.2818849,{LST=106.69588504495698},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,140,26864,2394282,02394282,Hampton,C,4,3253363.33174,7898.72293331,{LST=101.21838063332643},"{""type"":""MultiPoint"",""coordinates"":[]}"
