system:index,CTU_NAME,avg_lst,regionAvg,regionSD,.geo
00000000000000000059,Belle Plaine Twp.,{LST=87.53884495170698},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,New Market Twp.,{LST=89.8242454587636},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,Blaine,{LST=96.72360548163842},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,Lakeland,{LST=95.21829570738494},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,Greenwood,{LST=91.1982880633509},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,Andover,{LST=96.49480005879678},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,Eagan,{LST=96.521794309638},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,St. Bonifacius,{LST=95.97797103745732},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,Dellwood,{LST=89.97001859577387},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,New Trier,{LST=91.64834580332322},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,Coon Rapids,{LST=98.70715167514969},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,St. Paul,{LST=99.29953868216822},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,Minnetrista,{LST=90.64338265593203},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,Ravenna Twp.,{LST=90.36708090092992},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,Sunfish Lake,{LST=90.97498303870857},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,St. Lawrence Twp.,{LST=91.0000766759128},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,Burnsville,{LST=96.30472947464204},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,Vermillion Twp.,{LST=88.715875821165},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,Centerville,{LST=93.84953440476741},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,Hollywood Twp.,{LST=88.90546565687146},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,Vadnais Heights,{LST=95.21076777735928},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,St. Anthony,{LST=98.87537381859005},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,Brooklyn Center,{LST=100.53538227257924},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,Mound,{LST=94.9378531475065},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,Hanover,{LST=92.62870102285397},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,Camden Twp.,{LST=89.03464952784888},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,Randolph Twp.,{LST=92.85237382415016},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,Forest Lake,{LST=90.31908342240251},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,Inver Grove Heights,{LST=93.42640373574233},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,Nowthen,{LST=93.70347399744384},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,Arden Hills,{LST=94.88660651730964},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,Savage,{LST=95.78666349513541},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,Hampton Twp.,{LST=89.80444536685532},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,Watertown,{LST=94.92394599670011},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,Linwood Twp.,{LST=90.49069000635221},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,New Hope,{LST=100.23681918712036},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,Randolph,{LST=94.6090490913927},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,Orono,{LST=91.16390650758107},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,Hopkins,{LST=101.33053170020065},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,Sand Creek Twp.,{LST=90.27059269651004},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,Columbus,{LST=89.7428092075779},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,Woodbury,{LST=95.06490917248024},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,White Bear Twp.,{LST=92.85787152165426},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,Hastings,{LST=95.68137591894984},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,Benton Twp.,{LST=88.66460441730396},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,Oak Grove,{LST=94.61186023040415},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,Falcon Heights,{LST=98.5354633729699},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,Louisville Twp.,{LST=91.92404280973639},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,Cedar Lake Twp.,{LST=89.79704504132269},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,Cottage Grove,{LST=93.1419783901956},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,Lakeville,{LST=95.06158952794864},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,Norwood Young America,{LST=82.16492956245042},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,Waconia Twp.,{LST=88.86617305715261},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,Grey Cloud Island Twp.,{LST=88.94749850805253},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,St. Louis Park,{LST=100.25605796360195},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,Hugo,{LST=90.80390208067135},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,Roseville,{LST=98.33403740387337},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,Apple Valley,{LST=97.44440266479623},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,Minneapolis,{LST=100.90795707259579},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
